id,clvcuenca,cuenca,clvrha,clvrh,fechadof,fechacorte,subregion,cp,ar,uc,r,im,ex,ev,av,ab,rxy,d,idcatclasificacion,clasificacion,anio
769,"0916","Río Mayo 3","II","RH009","2020-09-21","2020-02-04Z","",68.966,0.425,864.488,1036.671,0,88.8,0,0,152.774,0,152.774,2,"Con disponibilidad",2020
782,"1001","Río Habitas","III","RH010","2020-09-21","2020-02-04Z","",372.025,0,0.648,0.248,0,0,32.383,8.6,330.641,237.858,92.784,2,"Con disponibilidad",2020
789,"1002","Río Elota","III","RH010","2020-09-21","2020-02-04Z","",95.084,330.641,246.357,0,0,59.903,0,0,119.466,0,119.466,2,"Con disponibilidad",2020
790,"1003","Río Quelite 1","III","RH010","2020-09-21","2020-02-04Z","",101.296,0,0.353,0,0,0,0,0,100.942,0.342,100.601,2,"Con disponibilidad",2020
803,"1004","Río Quelite 2","III","RH010","2020-09-21","2020-02-04Z","",50.77,100.942,0.514,0,0,0,0,0,151.198,0,151.198,2,"Con disponibilidad",2020
804,"1005","Río Mocorito 1","III","RH010","2020-09-21","2020-02-04Z","",148.459,0,3.476,0.106,0,0,28.102,-3.222,120.209,116.512,3.697,2,"Con disponibilidad",2020
817,"1006","Río Mocorito 2","III","RH010","2020-09-21","2020-02-04Z","",73.852,120.209,405.973,2.479,314.945,89.782,0,0,15.73,0,15.73,2,"Con disponibilidad",2020
822,"1007","Río San Lorenzo 1","III","RH010","2020-09-21","2020-02-04Z","",1374.902,0,1028.106,0,0,0,60.703,23.263,262.83,212.527,50.303,2,"Con disponibilidad",2020
831,"1008","Río San Lorenzo 2","III","RH010","2020-09-21","2020-02-04Z","",245.207,262.83,714.344,1022.871,0,523.565,0,0,293,0,293,2,"Con disponibilidad",2020
835,"1009","Río Humaya","III","RH010","2020-09-21","2020-02-04Z","",1869.364,0,1284.8,0.001,0,351.551,106.579,25.99,100.446,91.169,9.276,2,"Con disponibilidad",2020
846,"1010","Río Tamazula","III","RH010","2020-09-21","2020-02-04Z","",758.53,0,530.409,0,0,0,40.589,5.958,181.574,164.806,16.768,2,"Con disponibilidad",2020
852,"1011","Río Culiacán","III","RH010","2020-09-21","2020-02-04Z","",444.475,282.02,2116.552,1850.193,309.419,503.022,0,0,266.532,0,266.532,2,"Con disponibilidad",2020
856,"1012","Río Fuerte 1","III","RH010","2020-09-21","2020-02-04Z","",4024.364,0,3758.965,1.425,0,0,49.428,121.499,95.898,94.493,1.404,2,"Con disponibilidad",2020
866,"1013","Río Choix","III","RH010","2020-09-21","2020-02-04Z","",279.238,0,0.768,0.474,0,0,0,0,278.943,274.858,4.085,2,"Con disponibilidad",2020
873,"1014","Arroyo Alamos","III","RH010","2020-09-21","2020-02-04Z","",94.124,0,0.239,0,0,0,0,0,93.885,92.51,1.375,2,"Con disponibilidad",2020
885,"1015","Río Fuerte 2","III","RH010","2020-09-21","2020-02-04Z","",595.043,468.726,6577.576,6822.227,0,839.27,200.244,39.611,229.294,113.8,115.494,2,"Con disponibilidad",2020
891,"1016","Río Piaxtla 1","III","RH010","2020-09-21","2020-02-04Z","",996.843,0,2.54,0,0,0,0,0,994.304,6.482,987.822,2,"Con disponibilidad",2020
898,"1017","Río Piaxtla 2","III","RH010","2020-09-21","2020-02-04Z","",421.95,994.304,9.234,0.148,0,0,0,0,1407.168,0,1407.168,2,"Con disponibilidad",2020
909,"1018","Río Sinaloa 1","III","RH010","2020-09-21","2020-02-04Z","",1311.348,0,1058.426,0.001,0,0,58.211,26.644,168.068,135.346,32.723,2,"Con disponibilidad",2020
916,"1019","Arroyo Ocoroni","III","RH010","2020-09-21","2020-02-04Z","",151.147,0,0.144,0,0,0,17.432,1.229,132.342,106.575,25.767,2,"Con disponibilidad",2020
923,"1020","Arroyo Cabrera","III","RH010","2020-09-21","2020-02-04Z","",83.401,0,1.307,0,0,0,0,0,82.094,66.11,15.984,2,"Con disponibilidad",2020
932,"1021","Río Sinaloa 2","III","RH010","2020-09-21","2020-02-04Z","",462.184,382.504,1205.509,1055.947,0,325.074,0,0,370.051,0,370.051,2,"Con disponibilidad",2020
938,"1022","Río Pericos 1","III","RH010","2020-09-21","2020-02-04Z","",49.725,0,0.481,0,0,0,0,0,49.244,0.855,48.389,2,"Con disponibilidad",2020
944,"1023","Río Pericos 2","III","RH010","2020-09-21","2020-02-04Z","",144.088,49.244,3.367,0.692,0,0,0,0,190.658,0,190.658,2,"Con disponibilidad",2020
950,"1024","Grupo de Corrientes Agiabampo","III","RH010","2020-09-21","2020-02-04Z","",89.084,0,22.045,1.275,0,0,0,0,68.314,0,68.314,2,"Con disponibilidad",2020
952,"1025","Grupo de Corrientes Topolobampo","III","RH010","2020-09-21","2020-02-04Z","",73.484,0,15.205,5.588,0,0,0,0,63.867,0,63.867,2,"Con disponibilidad",2020
955,"1026","Grupo de Corrientes Huyaqui","III","RH010","2020-09-21","2020-02-04Z","",53.771,0,8.505,0,0,0,0,0,45.266,0,45.266,2,"Con disponibilidad",2020
958,"1027","Grupo de Corrientes Reforma","III","RH010","2020-09-21","2020-02-04Z","",37.219,0,2.097,1.374,0,0,0,0,36.496,0,36.496,2,"Con disponibilidad",2020
960,"1028","Grupo de Corrientes Pabellones","III","RH010","2020-09-21","2020-02-04Z","",116.014,0,11.654,0.364,0,0,0,0,104.725,0,104.725,2,"Con disponibilidad",2020
963,"1029","Grupo de Corrientes Tempehuaya","III","RH010","2020-09-21","2020-02-04Z","",104.504,0,5.807,1.001,0,0,0,0,99.698,0,99.698,2,"Con disponibilidad",2020
968,"1030","Grupo de Corrientes Altata","III","RH010","2020-09-21","2020-02-04Z","",22.677,0,0.488,0.002,0,0,0,0,22.19,0,22.19,2,"Con disponibilidad",2020
971,"1101","Río Cañas 1","III","RH011","2020-09-21","2020-02-04Z","",123.131,0,3.047,0,0,0,0,0,120.084,1.297,118.787,2,"Con disponibilidad",2020
982,"1102","Río Cañas 2","III","RH011","2020-09-21","2020-02-04Z","",58.474,120.084,1.929,0.006,0,0,0,0,176.636,0,176.636,2,"Con disponibilidad",2020
983,"1103","Laguna de Santiaguillo","III","RH011","2020-09-21","2020-02-04Z","",142.178,0,13.235,2.756,0,0,84.415,0,47.284,0.32,46.964,2,"Con disponibilidad",2020
